,Const. No.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency
0,56,ALURI CHINNARAO,Bahujan Samaj Party,1536,7,1543,1.02,Achanta
1,56,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,58353,495,58848,39.09,Achanta
2,56,NEKKANTI VENKATA SATYANARAYANA (SATISH),Indian National Congress,1859,13,1872,1.24,Achanta
3,56,SATYANARAYANA PITHANI,Telugu Desam,84429,973,85402,56.73,Achanta
4,56,ALLADA SURYA BHASKARA RAO,Jaathia Chethi Vruthula Ikya Vedika Party,275,0,275,0.18,Achanta
5,56,KAKI SYAM KUMAR,Jaibhim Rao Bharat Party,215,0,215,0.14,Achanta
6,56,VELAGALA SREENIVASA REDDY,Jai Bharat National Party,267,3,270,0.18,Achanta
7,56,RAMOJU PURNA CHANDRA SEKHAR,Independent,150,0,150,0.1,Achanta
8,56,SIKILE RATNARAJU,Independent,293,0,293,0.19,Achanta
9,56,NOTA,None of the Above,1661,12,1673,1.11,Achanta
10,105,KISHORE BABU ADUSUMALLI,Indian National Congress,4055,17,4072,1.89,Addanki
11,105,GOTTIPATI RAVI KUMAR,Telugu Desam,115078,1340,116418,54.02,Addanki
12,105,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,90696,832,91528,42.47,Addanki
13,105,JOSEPH MANDA,Bahujan Samaj Party,438,10,448,0.21,Addanki
14,105,KANDULA YAKOBU,Liberation Congress Party,81,2,83,0.04,Addanki
15,105,GUNTUPALLI GOPI,Navodayam Party,49,0,49,0.02,Addanki
16,105,GUMMA SADASIVARAO,Pyramid Party of India,51,0,51,0.02,Addanki
17,105,PULIPATI HEBELU,Jaibhim Rao Bharat Party,109,5,114,0.05,Addanki
18,105,MEESALA SAMRAJYAM,Bharatha Chaitanya Yuvajana Party,107,3,110,0.05,Addanki
19,105,RAMBABU BACHINA,Jateeya Sama Samajam Party,448,0,448,0.21,Addanki
20,105,ATLA CHINA VENKATA REDDY,Independent,39,0,39,0.02,Addanki
21,105,DUPATI YESOBU,Independent,55,1,56,0.03,Addanki
22,105,PRABHUDASU SURABHI,Independent,69,0,69,0.03,Addanki
23,105,MANDA SRINIVASA RAO,Independent,245,6,251,0.12,Addanki
24,105,VENKATA CHARI GOLLAPATI,Independent,182,0,182,0.08,Addanki
25,105,NOTA,None of the Above,1591,9,1600,0.74,Addanki
26,146,ASIYA BANU AMLIVALE,Bahujan Samaj Party,2143,9,2152,1.22,Adoni
27,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,88943,986,89929,51.06,Adoni
28,146,G. RAMESH YADAV,Indian National Congress,7567,55,7622,4.33,Adoni
29,146,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,71297,468,71765,40.74,Adoni
30,146,K. RANGANNA,Jaibhim Rao Bharat Party,468,3,471,0.27,Adoni
31,146,URUKUNDU VADDE,Independent,139,1,140,0.08,Adoni
32,146,G JAYANNA,Independent,273,1,274,0.16,Adoni
33,146,K. DASTAGIRI NAIDU,Independent,726,1,727,0.41,Adoni
34,146,B. NAGARAJ,Independent,267,1,268,0.15,Adoni
35,146,G. YUVARAJ,Independent,1162,8,1170,0.66,Adoni
36,146,NOTA,None of the Above,1597,18,1615,0.92,Adoni
37,134,AKHILA PRIYA BHUMA,Telugu Desam,97473,1408,98881,49.93,Allagadda
38,134,BARAGODLA HUSSAIN BASHA,Indian National Congress,6057,43,6100,3.08,Allagadda
39,134,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,85966,878,86844,43.85,Allagadda
40,134,VARIKUTI HANNAMMA,Bahujan Samaj Party,1025,5,1030,0.52,Allagadda
41,134,EPANAGANDLA SREENIVASULU YADAV,Samajwadi Party,162,2,164,0.08,Allagadda
42,134,M.KRISHNA REDDY,Praja Ektha Party,129,1,130,0.07,Allagadda
43,134,CHEEMALA RAMESH,Navarang Congress Party,113,0,113,0.06,Allagadda
44,134,CHENNAIAH MADARA,Anna YSR Congress Party,105,3,108,0.05,Allagadda
45,134,DARA SHEKHAR,Jaibhim Rao Bharat Party,117,2,119,0.06,Allagadda
46,134,NERELLA OBULESU,Revolutionary Socialist Party,216,2,218,0.11,Allagadda
47,134,C. VENKATA RAMANA,Neethi Nijayithi Party,91,2,93,0.05,Allagadda
48,134,ANISETTY BALA PEDDAIAH,Independent,110,1,111,0.06,Allagadda
49,134,ARLA PADMAJA,Independent,114,1,115,0.06,Allagadda
50,134,KOTTAPU PEDDI REDDY,Independent,272,0,272,0.14,Allagadda
51,134,GANGULA PRAHLADA REDDY,Independent,321,1,322,0.16,Allagadda
52,134,K. CHANDRA SEKHARA REDDY,Independent,657,0,657,0.33,Allagadda
53,134,JAJJARI MARIYADAS,Independent,855,1,856,0.43,Allagadda
54,134,T.A. NARASIMHA RAO,Independent,337,0,337,0.17,Allagadda
55,134,NOTA,None of the Above,1564,18,1582,0.8,Allagadda
56,147,ARAKATLA NAVEEN KISHOR,Indian National Congress,5751,21,5772,2.74,Alur
57,147,H. RAMALINGAIAH,Bahujan Samaj Party,1364,5,1369,0.65,Alur
58,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,99785,479,100264,47.65,Alur
59,147,B. VEERABHADRA GOWD,Telugu Desam,96597,836,97433,46.3,Alur
60,147,N MOHAN PRASAD,Bharatha Chaitanya Yuvajana Party,673,1,674,0.32,Alur
61,147,SHAIK. SHAIKSHA VALI,Jai Bharat National Party,275,1,276,0.13,Alur
62,147,M. AMANULLA,Independent,227,0,227,0.11,Alur
63,147,ADONI ANJANEYULU,Independent,200,0,200,0.1,Alur
64,147,RANGASWAMY KAVALI,Independent,220,0,220,0.1,Alur
65,147,R. LOKANATH,Independent,282,0,282,0.13,Alur
66,147,B. SATYANNA,Independent,534,2,536,0.25,Alur
67,147,HEBBATAM VANNURAPPA,Independent,542,0,542,0.26,Alur
68,147,NOTA,None of the Above,2629,5,2634,1.25,Alur
69,6,ANNAJIRAO SANAPALA,Indian National Congress,3456,25,3481,2.19,Amadalavalasa
70,6,KOONA RAVI KUMAR,Telugu Desam,85121,2882,88003,55.45,Amadalavalasa
71,6,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,51938,1033,52971,33.38,Amadalavalasa
72,6,SOMESWARA RAO LASA,Bahujan Samaj Party,355,4,359,0.23,Amadalavalasa
